design,sheet_id,sheet_number,panel_id,quantity,thickness_mm,rotation_deg,x_mm,y_mm,bbox_width_mm,bbox_height_mm,area_mm2,hole_count,bevel_notes,notes,cut_note
Catamaran,Catamaran_sheet1,1,CAT-STARBOARD-DECK-01,1,20,90,284,483,260,50,13000,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-PORT-CHINE-PORT-06,1,20,0,548,483,190.17873,55.139384,4851.49158,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-PORT-CHINE-PORT-01,1,20,0,742.17873,483,50,56.94019,2847.0095,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CATAMARAN-CONNECTOR-CENTER-01,1,20,0,955.611713,309,20,30,600,0,"edge 0: Deck connector end; post-laser fit/bevel, no shell overlap",,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CATAMARAN-CONNECTOR-CENTER-02,1,20,0,955.611713,343,20,30,600,0,"edge 0: Deck connector end; post-laser fit/bevel, no shell overlap",,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CATAMARAN-CONNECTOR-CENTER-03,1,20,0,955.611713,377,20,30,600,0,"edge 0: Deck connector end; post-laser fit/bevel, no shell overlap",,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CATAMARAN-CONNECTOR-CENTER-04,1,20,0,955.611713,411,20,30,600,0,"edge 0: Deck connector end; post-laser fit/bevel, no shell overlap",,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-TRANSOM-01,1,20,0,20,45,260,140,35589.4537,0,edge 1: Transom-to-bottom and side butt joint; post-laser bevel,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-STARBOARD-TRANSOM-01,1,20,0,284,45,260,140,35589.4537,0,edge 1: Transom-to-bottom and side butt joint; post-laser bevel,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-DECK-06,1,20,0,548,45,197.461682,172.967966,17077.2727,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-STARBOARD-DECK-06,1,20,0,749.461682,45,197.461682,172.967966,17077.2727,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-BULKHEAD-01,1,20,0,20,189,260,120,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-BULKHEAD-02,1,20,0,284,189,260,120,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-BULKHEAD-03,1,20,0,548,221.967966,260,120,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-BULKHEAD-04,1,20,90,812,221.967966,120,260,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-STARBOARD-BULKHEAD-01,1,20,0,20,313,260,120,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-STARBOARD-BULKHEAD-02,1,20,0,284,313,260,120,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-STARBOARD-BULKHEAD-03,1,20,0,548,345.967966,260,120,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-CHINE-STARBOARD-06,1,20,90,20,437,170.406583,100.845909,4851.49161,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-STARBOARD-CHINE-STARBOARD-06,1,20,90,194.406583,437,170.406583,100.845909,4851.49161,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-CHINE-STARBOARD-05,1,20,90,368.813166,437,170.1719,85.478908,9689.62032,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-STARBOARD-CHINE-PORT-06,1,20,0,542.985066,469.967966,190.17873,55.139384,4851.49158,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-CHINE-PORT-05,1,20,0,737.163796,485.967966,181.966002,56.155971,9689.62025,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet2,2,CAT-PORT-CHINE-STARBOARD-01,1,20,90,923.129798,485.967966,50,56.94019,2847.0095,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-BULKHEAD-04,1,20,0,20,45,260,120,30389.4537,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-SIDE-PORT-06,1,20,0,284,45,207.333701,139.611713,26189.6188,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-BOTTOM-05,1,20,0,495.333701,45,188.114716,147.784662,20477.2727,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-BOTTOM-05,1,20,0,687.448417,45,188.114716,147.784662,20477.2727,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-SIDE-STARBOARD-06,1,20,0,20,169,140,197.461682,26189.6187,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-SIDE-STARBOARD-06,1,20,0,164,188.611713,140,197.461682,26189.6187,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-BOTTOM-02,1,20,0,308,188.611713,170,150,25500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-BOTTOM-03,1,20,0,482,196.784662,170,150,25500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-BOTTOM-04,1,20,0,656,196.784662,170,150,25500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-BOTTOM-02,1,20,90,830,196.784662,150,170,25500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-BOTTOM-03,1,20,0,308,342.611713,170,150,25500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-BOTTOM-04,1,20,0,482,350.784662,170,150,25500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-BULKHEAD-05,1,20,0,656,370.784662,200.909091,120,23298.5446,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-BULKHEAD-05,1,20,0,20,390.073395,200.909091,120,23298.5446,0,edge 0: Section bulkhead mating perimeter; bevel as required for shell angle,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-BOTTOM-06,1,20,90,860.909091,370.784662,87.823931,175.971917,7727.27275,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-BOTTOM-01,1,20,0,224.909091,390.073395,50,150,7500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-BOTTOM-01,1,20,90,656,494.784662,150,50,7500,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-SIDE-PORT-01,1,20,0,879.563133,45,50,125.262794,6263.1397,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-PORT-SIDE-STARBOARD-01,1,20,0,278.909091,496.611713,125.262794,50,6263.1397,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet3,3,CAT-STARBOARD-CHINE-PORT-01,1,20,90,408.171885,496.611713,56.94019,50,2847.0095,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-PORT-05,1,20,0,20,45,172.548352,125.262794,21613.8887,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-STARBOARD-05,1,20,0,196.548352,45,125.262794,172.548352,21613.8887,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-PORT-05,1,20,0,325.811146,45,172.548352,125.262794,21613.8887,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-STARBOARD-05,1,20,0,502.359498,45,125.262794,172.548352,21613.8887,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-PORT-02,1,20,0,631.622292,45,170,125.262794,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-PORT-03,1,20,0,805.622292,45,170,125.262794,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-PORT-04,1,20,0,20,174.262794,170,125.262794,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-STARBOARD-02,1,20,0,325.811146,174.262794,125.262794,170,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-STARBOARD-03,1,20,0,631.622292,174.262794,125.262794,170,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-SIDE-STARBOARD-04,1,20,0,760.885086,174.262794,125.262794,170,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-PORT-02,1,20,90,194,221.548352,125.262794,170,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-PORT-03,1,20,0,455.07394,221.548352,170,125.262794,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-PORT-04,1,20,0,20,303.525588,170,125.262794,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-STARBOARD-02,1,20,0,323.262794,348.262794,125.262794,170,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-STARBOARD-03,1,20,0,629.07394,348.262794,125.262794,170,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-STARBOARD-04,1,20,0,758.336734,348.262794,125.262794,170,21294.675,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-BOTTOM-06,1,20,90,890.14788,174.262794,87.823931,175.971917,7727.27275,0,edge 0: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut | edge 2: Longitudinal chine mating edges; bevel-machine to 15 deg after laser cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-CHINE-STARBOARD-05,1,20,0,452.525588,350.811146,85.478908,170.1719,9689.62032,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-CHINE-PORT-05,1,20,90,542.004496,350.811146,56.155971,181.966002,9689.62025,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-CHINE-PORT-02,1,20,90,887.599528,354.234711,56.94019,170,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-PORT-CHINE-PORT-03,1,20,0,20,432.788382,170,56.94019,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-PORT-01,1,20,0,194,395.548352,50,125.262794,6263.1397,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-SIDE-STARBOARD-01,1,20,90,248,395.548352,50,125.262794,6263.1397,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet4,4,CAT-STARBOARD-CHINE-STARBOARD-01,1,20,0,20,493.728572,56.94019,50,2847.0095,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-PORT-CHINE-PORT-04,1,20,0,20,45,170,56.94019,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-PORT-CHINE-STARBOARD-02,1,20,0,194,45,56.94019,170,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-PORT-CHINE-STARBOARD-03,1,20,0,254.94019,45,56.94019,170,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-PORT-CHINE-STARBOARD-04,1,20,0,315.88038,45,56.94019,170,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-STARBOARD-CHINE-PORT-02,1,20,0,376.82057,45,170,56.94019,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-STARBOARD-CHINE-PORT-03,1,20,0,550.82057,45,170,56.94019,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-STARBOARD-CHINE-PORT-04,1,20,0,724.82057,45,170,56.94019,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-STARBOARD-CHINE-STARBOARD-02,1,20,0,898.82057,45,56.94019,170,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-STARBOARD-CHINE-STARBOARD-03,1,20,0,20,105.94019,56.94019,170,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet5,5,CAT-STARBOARD-CHINE-STARBOARD-04,1,20,0,80.94019,105.94019,56.94019,170,9679.8323,0,edge 0: Mates flat bottom and vertical side; post-laser bevel to 15 deg | edge 2: Mates flat bottom and vertical side; post-laser bevel to 15 deg,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Trimaran,Trimaran_sheet1,1,TRI-MAIN-DECK-05,1,20,0,20,45,237.522205,285.159182,41555.5556,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
